,mean_neff,mean_mean,mean_std
10,0.9661581333333332,0.010100000000000003,0.004900000000000004
20,0.9772984166666665,0.007650000000000007,0.0068000000000000005
30,0.9640572333333334,0.007066666666666671,0.005800000000000001
40,0.9631919583333334,0.006675000000000006,0.006649999999999999
50,0.9947387866666665,0.007120000000000002,0.005739999999999998
60,0.9708212277777777,0.00778333333333334,0.006733333333333332
70,0.9788094619047618,0.007000000000000006,0.005457142857142857
80,0.9852130166666665,0.007187500000000005,0.006237500000000001
90,0.981698,0.007088888888888894,0.005955555555555557
100,0.9864326466666666,0.006610000000000006,0.0058
